내용,1,2,3,4,답
"Public procurement law________ the purchasing by public sector bodies of contracts for goods, works or services.",confers ,endows,proceeds,regulates ,regulates 
The company shares with the fair trade movement a________ to improve the livelihoods of cocoa farmers and their families. ,containment ,condiment,commitment ,consignment,commitment 
"He said he would not let the once thriving US auto industry ""simply vanish"",________ that the government would guarantee service and repair warranties. ",stress ,to stress,stressing ,stressed,stressing 
"Most of the staff were unhappy with the new regulations,____________they formed a committee to approach management about them.",when,or,as soon as,so,so
Mr. and Mrs. Smith moved____________  a new apartment on the first of May.,at,over ,into ,through ,into 
Sales________ are encouraged to familiarize themselves with the location of various merchandise in the department store. ,representational       ,represent ,represents            ,representatives ,representatives 
"Even with our detailed website, many customers prefer to visit our store locations and see the products for________. ",they  ,their  ,theirs  ,themselves ,themselves 
The new zoning laws should________ improve the traffic congestion problem developing in the suburbs.,great   ,greatness   ,greatly   ,greatest ,greatly   
Ms. Ferguson had to inform the secretary that she wouldn’t be able to return to work____________________________ January .,between   ,within   ,above   ,before ,before 
New customer service personnel are trained to________________to inquiries within a reasonable amount of time.,promise  ,respond  ,advise  ,explain,respond  
Last week’s performance was judged to be a major________  even though it received no local media coverage.,success         ,succeed,successful      ,successfulness,success         
One of the members of the committee is supposed to____________  at 7p.m. at the airport.,pick up you,picking up you,pick you up,picking you up,pick you up
"While____________ , candidates are asked to refrain from smoking and using their cell phones.",wait,waits,waited,waiting,waiting
"________________Martha ends up doing something wrong, she is not ashamed of what she does.",Because,Even,Even if,While,Even if
He called____________  his business trip because of the announcement.,on,in,for ,off  ,off  
"To _______ the repair job on time, the engineer asked the carpenters and electricians to do overtime yesterday.  ",finished ,finishing ,finishes ,finish,finish
The union leader plans to _______ his remarks on work safety problems to the management during the meeting this afternoon.  ,address ,exalt ,broadcast ,send,address 
"_______ to secure your export products, we recommend that you have them insured before shipment.  ",In order ,So that ,Though ,Because ,In order 
The consultant was impressed that the draftsmen worked efficiently even without the ------- of a design director.  ,standard ,correction ,supervision ,accuracy,supervision 
Jerry Cunningham will ------- the names of researchers and production assistants who will join Ms. Marina Fletcher at the Paris Film Festival. ,announce ,diffuse ,trade ,command,announce 
"With all the negative reviews about the novel, it seems that the author’s message was ------- by literary critics.  ",misinterpret ,misinterprets ,misinterpreting ,misinterpreted,misinterpreted
The painting's monetary worth in the arts market _______ when it was discovered that it was one of the earliest works done by the renowned artist Van Gogh. ,doubled ,rolled ,plunged ,overlapped,doubled 
